Best Fitness, Average Fitness, Worst Fitness
268.0, 268.0, 268.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
260.0, 259.035, 259.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
269.0, 268.01, 268.0
269.0, 268.015, 268.0
269.0, 268.01, 268.0
260.0, 259.18, 259.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
260.0, 259.6, 259.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
260.0, 259.91, 259.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
268.0, 268.0, 268.0
269.0, 268.015, 268.0
269.0, 268.05, 268.0
269.0, 268.085, 268.0
263.0, 260.31, 259.0
269.0, 268.285, 268.0
269.0, 268.47, 268.0
269.0, 268.755, 268.0
269.0, 268.96, 268.0
269.0, 269.0, 269.0
269.0, 269.0, 269.0
269.0, 269.0, 269.0
269.0, 269.0, 269.0
269.0, 269.0, 269.0
263.0, 262.945, 262.0
269.0, 269.0, 269.0
269.0, 269.0, 269.0
269.0, 269.0, 269.0
269.0, 269.0, 269.0
269.0, 269.0, 269.0
269.0, 269.0, 269.0
269.0, 269.0, 269.0
269.0, 269.0, 269.0
269.0, 269.0, 269.0
268.0, 263.14, 262.0
276.0, 269.595, 269.0
276.0, 270.295, 269.0
276.0, 270.96, 269.0
276.0, 272.395, 269.0
276.0, 274.25, 269.0
276.0, 275.58, 269.0
276.0, 275.895, 269.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
268.0, 268.0, 268.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
268.0, 268.0, 268.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
268.0, 268.0, 268.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
268.0, 268.0, 268.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
268.0, 268.0, 268.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
268.0, 268.0, 268.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
268.0, 268.0, 268.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
268.0, 268.0, 268.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
276.0, 276.0, 276.0
281.0, 276.025, 276.0
281.0, 276.05, 276.0
281.0, 276.15, 276.0
281.0, 276.335, 276.0
281.0, 276.68, 276.0
273.0, 269.33, 268.0
281.0, 278.13, 276.0
281.0, 279.48, 276.0
281.0, 280.475, 276.0
282.0, 280.89, 279.0
282.0, 281.02, 281.0
282.0, 281.045, 281.0
282.0, 281.115, 281.0
282.0, 281.22, 281.0
282.0, 281.4, 281.0
273.0, 273.0, 273.0
282.0, 281.695, 281.0
282.0, 281.92, 281.0
282.0, 281.995, 281.0
282.0, 282.0, 282.0
282.0, 282.0, 282.0
282.0, 282.0, 282.0
282.0, 282.0, 282.0
282.0, 282.0, 282.0
282.0, 282.0, 282.0
273.0, 273.0, 273.0
282.0, 282.0, 282.0
282.0, 282.0, 282.0
282.0, 282.0, 282.0
282.0, 282.0, 282.0
282.0, 282.0, 282.0
282.0, 282.0, 282.0
